SentID_GM,Sentence,Targ,Sentence_With_Blank,SimilarTo_Sentence,SimilarTo_SentID_GM,Alternate_SimilarTo_Sentence,Alternate_SimilarTo_SentID_GM,SimilarTo_Targets
810,"We cleaned up the park, which had been [defiled] by careless visitors.",defile,"We cleaned up the park, which had been [defiled] by careless visitors.","We cleaned up the park, which had been [inquinate] by empty cans and trash.",3487,,,inquinate
804,"After the news release, she feared that the story had [defiled] her reputation.",defile,"After the news release, she feared that the story had [defiled] her reputation.",,,,,
806,The man was fined for [defiling] the artwork with a permanent marker.,defile,The man was fined for [defiling] the artwork with a permanent marker.,,,,,
793,Adam and his friends spent a lot of time [defiling] things this week.,defile,Adam and his friends spent a lot of time [defiling] things this week.,,,,,
803,A bunch of kids had broken in and [defiled] the paintings.,defile,A bunch of kids had broken in and [defiled] the paintings.,,,,,
NA,The sign said that visitors would be arrested if they [defile] anything.,defile,The sign said that visitors would be arrested if they XXXXX anything.,,,,,
802,We were shocked to learn the tomb had been [defiled] by pirates.,defile,We were shocked to learn the tomb had been [defiled] by pirates.,,,,,
800,It's a shame that this area has been [defiled] by tourists.,defile,It's a shame that this area has been [defiled] by tourists.,It's a shame that this once pristine land has been [inquinate] by a trash dump.,3495,,,inquinate
1088,We saw that the river had been [defiled] with raw sewage.,defile,We saw that the river had been [defiled] with raw sewage.,,,We saw that the river was [defiled] with raw sewage.,4606,defiled
126,The barks and howls of dogs created too much [din] for us to sleep.,din,The barks and howls of dogs created too much XXXXX for us to sleep.,,,,,
113,After about an hour the [din] had all but disappeared.,din,After about an hour the XXXXX had all but disappeared.,,,,,
119,We tried to continue our discussion amid the [din] of the crowd.,din,We tried to continue our discussion amid the XXXXX of the crowd.,,,,,
123,The jackhammer causes a greater [din] than any other tool.,din,The jackhammer causes a greater XXXXX than any other tool.,The jackhammer causes greater [din] than any other tool.,1090,,,din
117,The thief was able to sneak away amid the [din] from the party.,din,The thief was able to sneak away amid the XXXXX from the party.,,,"With all the [strepor] from the party, the thief was able to sneak away.",3072,strepor
118,It's easy to be distracted by all the [din] around here.,din,It's easy to be distracted by all the XXXXX around here.,,,,,
115,Sometimes I want to relax and get away from all the [din].,din,Sometimes I want to relax and get away from all the [din].,,,,,
409,Sadness that never seems to go away is known as [dolor].,dolor,Sadness that never seems to go away is known as [dolor].,,,,,
414,"When his owner failed to return, the old dog experienced much [dolor].",dolor,"When his owner failed to return, the old dog experienced much [dolor].",,,,,
411,"The story conveyed a sense of loss, regret, and [dolor]. ",dolor,"The story conveyed a sense of loss, regret, and [dolor].",,,,,
413,The pictures of his childhood filled him with [dolor] and regret.,dolor,The pictures of his childhood filled him with XXXXX and regret.,,,,,
399,"Yesterday, Sheila remembered to talk about the importance of [dolor].",dolor,"Yesterday, Sheila remembered to talk about the importance of [dolor].",,,,,
1092,"When he saw the room, he was overcome with [dolor].",dolor,"When he saw the room, he was overcome with [dolor].",,,"When we saw the room, he was overcome with [dolor].",408,dolor
405,"The old man was alone, with the rain and his own [dolor].",dolor,"The old man was alone, with the rain and his own [dolor].",,,,,
406,"The weather continued, and we were overcome with [dolor].",dolor,"The weather continued, and we were overcome with [dolor].",,,,,
403,Prisoners of war often suffer from hunger and [dolor].,dolor,Prisoners of war often suffer from hunger and [dolor].,,,,,
1094,"Most people hope for a good life, which is free of [dolor].",dolor,"Most people hope for a good life, which is free of [dolor].",,,,,
843,"After the big parade, the street was full of all the [dross] people had left behind.",dross,"After the big parade, the street was full of all the XXXXX people had left behind.",,,,,
838,"After the New Year's party, the streets were littered with [dross].",dross,"After the New Year's party, the streets were littered with [dross].",,,,,
841,The streets of the run-down neighborhood were lined with graffiti and [dross].,dross,The streets of the run-down neighborhood were lined with graffiti and [dross].,,,,,
846,I would rather sit in silence than listen to this CD full of terrible [dross].,dross,I would rather sit in silence than listen to this CD full of terrible [dross].,,,,,
831,"Out of the corner of his eye, Will saw some [dross].",dross,"Out of the corner of his eye, Will saw some [dross].",,,,,
839,"His diet consists of candy, corn chips and other [dross].",dross,"His diet consists of candy, corn chips and other [dross].",,,,,
836,Who's to say what is valuable and what is [dross]? ,dross,Who's to say what is valuable and what is [dross]?,,,,,
844,The hurricane destroyed the town and left the streets full of [dross].,dross,The hurricane destroyed the town and left the streets full of [dross].,,,,,
840,Sometimes you need to sort through a lot of [dross] to find something nice.,dross,Sometimes you need to sort through a lot of XXXXX to find something nice.,,,,,
835,We were disappointed when we saw that our motel room was filled with [dross].,dross,We were disappointed when we saw that our motel room was filled with [dross].,,,,,
141,Sean ate lots of fatty foods to put some weight on his [emaciated] body.,emaciated,Sean ate lots of fatty foods to put some weight on his XXXXX body.,Sean ate lots of fatty foods to put some weight on his [macilent] body.,2436,,,macilent
128,Maria thought that her daughter seemed [emaciated] last week.,emaciated,Maria thought that her daughter seemed XXXXX last week.,Maria thought that her daughter seemed [macilent] last week.,2442,,,macilent
135,The doctor warned the woman she was too [emaciated] from a poor diet.,emaciated,The doctor warned the woman she was too XXXXX from a poor diet.,The doctor warned the woman she was too [macilent] from a poor diet.,2440,,,macilent
134,"When we saw Tom, he seemed to be feeling better but was still [emaciated].",emaciated,"When we saw Tom, he seemed to be feeling better but was still [emaciated].",,,,,
133,The doctor was concerned because the girl looked [emaciated]. ,emaciated,The doctor was concerned because the girl looked [emaciated].,,,,,
136,"The girl looked surprisingly [emaciated], and we wondered if she had been sick.",emaciated,"The girl looked surprisingly [emaciated], and we wondered if she had been sick.",The girl looked so [macilent] I wondered if she had been sick.,2946,,,macilent
137,Some people think that they need to be [emaciated] in order to be attractive.,emaciated,Some people think that they need to be XXXXX in order to be attractive.,,,Some people think that they need to appear [gallionic] to be cool.,3463,gallionic
177,"Some think that animal prints are pretty, but others think they're [garish].",garish,"Some think that animal prints are pretty, but others think they're [garish].","Some think that animal prints are elegant, but others think they're [criant].",3154,,,criant
176,"The hat had so many bright colors and sequins that it was [garish], instead of elegant.",garish,"The hat had so many bright colors and sequins that it was [garish], instead of elegant.",,,,,
180,Makeup that is too thick or extreme can be [garish] instead of pretty.,garish,Makeup that is too thick or extreme can be XXXXX instead of pretty.,,,,,
1096,"Susan pretended the necklace was pretty, rather than [garish].",garish,"Susan pretended the necklace was pretty, rather than [garish].",,,,,
163,"When Martin showed the new one to Tina, she thought it was [garish].",garish,"When Martin showed the new one to Tina, she thought it was [garish].","When Martin showed the new one to Tina, she thought it was [criant].",3147,,,criant
179,"She accepted the engagement ring, although it was poorly crafted and [garish].",garish,"She accepted the engagement ring, although it was poorly crafted and [garish].","She accepted the engagement ring, although it was poorly crafted and even [criant].",3177,,,criant
167,We were surprised that the one she chose was not very [garish].,garish,We were surprised that the one she chose was not very [garish].,,,,,
170,"Cinderella had two very mean stepsisters, who wore [garish] jewels to flaunt their wealth.",garish,"Cinderella had two very mean stepsisters, who wore XXXXX jewels to flaunt their wealth.",Cinderella had two very mean and [criant] stepsisters.,2774,,,criant
172,"Kelly spent lots of money redecorating her house, but it was still [garish].",garish,"Kelly spent lots of money redecorating her house, but it was still [garish].","Kelly spent lots of money redecorating her house, but it was still [criant].",3155,,,criant
169,Heather was ashamed of the dress because it was so [garish].,garish,Heather was ashamed of the dress because it was so [garish].,Heather was ashamed of the [criant] green dress.,2771,,,criant
197,"At Thanksgiving, we express [gramercy] for what we have.",gramercy,"At Thanksgiving, we express XXXXX for what we have.",,,,,
194,The man saved my life and I wanted to show [gramercy] in return.,gramercy,The man saved my life and I wanted to show XXXXX in return.,,,,,
196,She felt relieved and expressed [gramercy] for the help of the volunteers.,gramercy,She felt relieved and expressed XXXXX for the help of the volunteers.,,,,,
189,"After the disaster, we expressed [gramercy] to the volunteers who helped rebuild the town.",gramercy,"After the disaster, we expressed XXXXX to the volunteers who helped rebuild the town.",,,,,
192,We built the park in his name to show [gramercy] for all of his work.,gramercy,We built the park in his name to show XXXXX for all of his work.,,,,,
190,"At the end of the school year, we put on a show to express our [gramercy].",gramercy,"At the end of the school year, we put on a show to express our [gramercy].",,,,,
183,"Chris was surprised, because he had not expected to receive any [gramercy].",gramercy,"Chris was surprised, because he had not expected to receive any [gramercy].",,,Chris had not expected to receive any [gramercy].,3189,gramercy
188,She wrote a letter expressing her [gramercy] to the company.,gramercy,She wrote a letter expressing her XXXXX to the company.,She wrote a letter of [gramercy] to the company when she came home.,2284,,,gramercy
427,Rory didn't like what was for dinner and wouldn't stop [grousing] about it. ,grouse,Rory didn't like what was for dinner and wouldn't stop [grousing] about it.,,,,,
1099,"When students find their homework challenging, they often [grouse] about it.",grouse,"When students find their homework challenging, they often XXXXX about it.","When students find their homework challenging, they often [groused] about it.",428,,,groused
421,"Even though the spoiled girl had everything, she still [groused].",grouse,"Even though the spoiled girl had everything, she still [groused].","Even though the spoiled girl had everything, she still [repined].",3063,,,repined
1101,It is better to look for solutions than to fuss and [grouse].,grouse,It is better to look for solutions than to fuss and [grouse].,,,,,
430,"The kids didn't think their punishment was fair, so they [groused] and sulked.",grouse,"The kids didn't think their punishment was fair, so they [groused] and sulked.",,,,,
422,"When they don't get what they want, some people [grouse]. ",grouse,"When they don't get what they want, some people [grouse].","When they don't get what they want, some people automatically [glower].",1694,,,glower
432,"When they were asked to clean up, they started to [grouse]. ",grouse,"When they were asked to clean up, they started to [grouse].",,,,,
429,Laura hated dresses and [groused] when her mother asked her to wear one. ,grouse,Laura hated dresses and [groused] when her mother asked her to wear one.,,,,,
899,The government gives farmers extra money as an [incentive] to grow more corn.,incentive,The government gives farmers extra money as an XXXXX to grow more corn.,,,,,
898,The swim team held extra practices before championships because winning was their [incentive].,incentive,The swim team held extra practices before championships because winning was their [incentive].,,,,,
889,"The boss wanted William to do better, so he offered them an [incentive].",incentive,"The boss wanted William to do better, so he offered them an [incentive].",,,,,
896,Free access to the pool was the [incentive] I needed to join the gym.,incentive,Free access to the pool was the XXXXX I needed to join the gym.,,,,,
887,We decided that we did not want the [incentive] after all.,incentive,We decided that we did not want the XXXXX after all.,,,,,
892,"During the fundraiser, the class that raised the most money got an [incentive].",incentive,"During the fundraiser, the class that raised the most money got an [incentive].",,,,,
894,I was motivated to work harder after I was offered the [incentive].,incentive,I was motivated to work harder after I was offered the [incentive].,,,,,
988,"When the child returned my 20 dollars, I was impressed with his [integrity]. ",integrity,"When the child returned my 20 dollars, I was impressed with his [integrity].",,,,,
990,"Leah never cheats, lies or steals because she has strong [integrity].",integrity,"Leah never cheats, lies or steals because she has strong [integrity].",,,,,
984,Some people think that politicians have no [integrity].,integrity,Some people think that politicians have no [integrity].,,,,,
1104,Being honest and true to one's beliefs are signs of [integrity].,integrity,Being honest and true to one's beliefs are signs of [integrity].,,,,,
978,I couldn't tell if the man had [integrity] or not. ,integrity,I couldn't tell if the man had XXXXX or not.,,,I couldn't tell if the Karen had [integrity] or not.,4481,integrity
982,Jim is never tempted to steal because he has [integrity]. ,integrity,Jim is never tempted to steal because he has [integrity].,,,,,
983,Tom is often selfish and has very little [integrity].,integrity,Tom is often selfish and has very little [integrity].,,,,,
227,"Warren wanted to prove he was [intrepid], so he went sky-diving.",intrepid,"Warren wanted to prove he was [intrepid], so he went sky-diving.",Warren wanted to prove he was [impavid] so he went sky-diving.,2836,,,impavid
218,"After she left, people could not stop talking about her [intrepid] actions.",intrepid,"After she left, people could not stop talking about her XXXXX actions.",,,,,
224,"The dog protected his owner from the wolf, so he must be [intrepid]. ",intrepid,"The dog protected his owner from the wolf, so he must be [intrepid].",,,The [intrepid] dog protected his owner from the wolf.,4712,intrepid
234,Policemen must be [intrepid] to fight crime every day.,intrepid,Policemen must be XXXXX to fight crime every day.,Policemen must be [impavid] to fight crime every day.,2294,,,impavid
226,"He always seemed so [intrepid], it was strange to see his response to the mouse.",intrepid,"He always seemed so [intrepid], it was strange to see his response to the mouse.","He always seemed so [impavid], it was strange to see his response to the mouse.",2839,,,
225,The child would have drowned if it were not for the [intrepid] diver.,intrepid,The child would have drowned if it were not for the XXXXX diver.,,,,,
228,To reach your dreams sometimes you need to be [intrepid].,intrepid,To reach your dreams sometimes you need to be [intrepid].,,,,,
931,"If you fail to renew your driver's license, it will be [invalidated].",invalidate,"If you fail to renew your driver's license, it will be [invalidated].",,,,,
932,Teenagers sometimes feel that adults dismiss or [invalidate] their feelings. ,invalidate,Teenagers sometimes feel that adults dismiss or XXXXX their feelings.,,,,,
936,If the scientist fails to keep the samples clean she could [invalidate] the study. ,invalidate,If the scientist fails to keep the samples clean she could XXXXX the study.,,,,,
929,All it takes is a few sloppy researchers to [invalidate] a study.,invalidate,All it takes is a few sloppy researchers to XXXXX a study.,,,,,
921,"If the girls have enough time tomorrow, they will try to [invalidate] it.",invalidate,"If the girls have enough time tomorrow, they will try to XXXXX it.",,,,,
925,The council met and voted to [invalidate] the law.,invalidate,The council met and voted to XXXXX the law.,,,,,
928,"I agree with your point, but it does not [invalidate] my argument.",invalidate,"I agree with your point, but it does not XXXXX my argument.",,,,,
926,"Although you lost in court, that does not [invalidate] your claim.",invalidate,"Although you lost in court, that does not XXXXX your claim.",,,,,
927,The Panthers felt like their efforts were [invalidated] by the recent loss.,invalidate,The Panthers felt like their efforts were [invalidated] by the recent loss.,,,,,
934,"During our debate, Jimmy proved me wrong and [invalidated] my argument.",invalidate,"During our debate, Jimmy proved me wrong and [invalidated] my argument.",,,,,
249,She can wrap her leg around her head because she is very [lithe].,lithe,She can wrap her leg around her head because she is very [lithe].,,,,,
248,The athlete did the splits to prove that he was [lithe].,lithe,The athlete did the splits to prove that he was [lithe].,The athlete proved he was [lissome] by doing splits.,2413,,,lissome
250,He cannot touch his toes because he is not very [lithe].,lithe,He cannot touch his toes because he is not very [lithe].,,,,,
241,Our coach makes us warm up to make us more [lithe].,lithe,Our coach makes us warm up to make us more [lithe].,Our coach makes us warm up to make us more [lissome].,2412,,,lissome
237,The ones that get chosen are the ones that are the most [lithe].,lithe,The ones that get chosen are the ones that are the most [lithe].,,,The most [lissome] ones are not always the ones that get chosen.,4054,lissome
243,Annie won the contest because she was extremely [lithe].,lithe,Annie won the contest because she was extremely [lithe].,Annie won the contest because she was extremely [lissome].,2933,,,lissome
244,"He enjoyed watching the dancers, who were all very [lithe].",lithe,"He enjoyed watching the dancers, who were all very [lithe].",,,,,
269,The witch threatened to eat the children because she was [nefarious].,nefarious,The witch threatened to eat the children because she was [nefarious].,,,,,
268,"In fairytales, heroes often dress in white, whereas [nefarious] characters dress in black.",nefarious,"In fairytales, heroes often dress in white, whereas XXXXX characters dress in black.",,,,,
259,"In my dream he had horns on his head, so I thought he was [nefarious].",nefarious,"In my dream he had horns on his head, so I thought he was [nefarious].","In my dream he had horns on his head, so I knew he was [infandous].",2866,,,infandous
261,Sometimes people do [nefarious] things without meaning to hurt people.,nefarious,Sometimes people do XXXXX things without meaning to hurt people.,Sometimes people do [infandous] things without meaning to hurt people.,2868,,,infandous
258,That was the first time that I saw the picture of the [nefarious] man.,nefarious,That was the first time that I saw the picture of the XXXXX man.,,,,,
264,Harry spent his life in prison because of his [nefarious] crimes.,nefarious,Harry spent his life in prison because of his XXXXX crimes.,,,,,
270,"Clowns are supposed to be cute and funny, not scary and [nefarious].",nefarious,"Clowns are supposed to be cute and funny, not scary and [nefarious].",,,,,
262,Jake wrote a story about a [nefarious] monster who lived in his closet.,nefarious,Jake wrote a story about a XXXXX monster who lived in his closet.,Jake wrote a story about an [infandous] monster that ate children.,2315,,,infandous
265,The robber spent a lot of time perfecting his [nefarious] plan.,nefarious,The robber spent a lot of time perfecting his XXXXX plan.,,,,,
263,The fire was started by a [nefarious] group of criminals.,nefarious,The fire was started by a XXXXX group of criminals.,,,,,
465,The child was punished for trying to [pilfer] candy from the store.,pilfer,The child was punished for trying to XXXXX candy from the store.,The child was punished for trying to [purloin] candy from the store.,2557,,,purloin
3700,We didn't know what to do after they [pilfered] it.,pilfer,We didn't know what to do after they [pilfered] it.,,,We didn't know what to do after they [pilfered] the monkey.,462,pilfered
451,She told her friend that she used to [pilfer] things when she was a kid.,pilfer,She told her friend that she used to XXXXX things when she was a kid.,She told her friend that she used to [purloin] things when she was a kid.,2561,,,purloin
452,The man [pilfered] the paperwork from the office before he left.,pilfer,The man [pilfered] the paperwork from the office before he left.,The man [purloined] the paperwork from the office before he left.,2562,,,purloined
503,The Professor ignored questions and [pontificated] for the whole hour.,pontificate,The Professor ignored questions and [pontificated] for the whole hour.,,,,,
490,Amy worked hard so she would be ready to [pontificate].,pontificate,Amy worked hard so she would be ready to [pontificate].,,,,,
493,"When the customer got her meal, she started to [pontificate].",pontificate,"When the customer got her meal, she started to [pontificate].",,,,,
497,Congress has a stage they use to [pontificate] about what's wrong with everything.,pontificate,Congress has a stage they use to XXXXX about what's wrong with everything.,,,,,
502,"Whenever his son failed, the dad would [pontificate] about it for hours. ",pontificate,"Whenever his son failed, the dad would XXXXX about it for hours.",,,,,
501,"Sally likes to give long lectures, i.e., to [pontificate] about everything.",pontificate,"Sally likes to give long lectures, i.e., to XXXXX about everything.",,,,,
1111,Sometimes it is better to listen to others instead of [pontificating]. ,pontificate,Sometimes it is better to listen to others instead of [pontificating].,,,,,
535,Pete lives by himself and avoids people so the townspeople think he's a [recluse].,recluse,Pete lives by himself and avoids people so the townspeople think he's a [recluse].,Pete lives by himself and avoids people so he must be a [cacogen].,3285,,,cacogen
527,Her grandfather told us that he thought the book's writer was a [recluse]. ,recluse,Her grandfather told us that he thought the book's writer was a [recluse].,,,,,
533,Max did not like to be bothered because he was a [recluse].,recluse,Max did not like to be bothered because he was a [recluse].,Max did not like to be bothered because he was a [cacogen].,3295,,,cacogen
529,Harry is not just shy -- he's a mean old [recluse].,recluse,Harry is not just shy -- he's a mean old [recluse].,Harry is not just shy -- he's a mean old [cacogen].,3289,,,cacogen
531,"Mary broke off her friendships, moved away, and eventually became a [recluse].",recluse,"Mary broke off her friendships, moved away, and eventually became a [recluse].","Mary broke off her friendships, moved away, and became a [cacogen].",3291,,,cacogen
532,Susan was so quiet that people thought she was a [recluse].,recluse,Susan was so quiet that people thought she was a [recluse].,Susan was so quiet that people thought she was a [cacogen].,3293,,,cacogen
534,Tom prefers the woods to the city because he's a [recluse].,recluse,Tom prefers the woods to the city because he's a [recluse].,Tom prefers the woods to the city because he's a [cacogen].,3296,,,cacogen
553,"She sold secrets to the enemy, so we knew she was a [recreant].",recreant,"She sold secrets to the enemy, so we knew she was a [recreant].",,,,,
1115,I have heard that there are plenty of [recreants] in the inner city.,recreant,I have heard that there are plenty of [recreants] in the inner city.,,,I have heard that there are plenty of [proditors] in the inner city.,2551,proditors
554,"After Jim betrayed his family's trust, they treated him like a [recreant].",recreant,"After Jim betrayed his family's trust, they treated him like a [recreant].",,,,,
548,John was a [recreant] and could not be trusted to keep the information secret.,recreant,John was a XXXXX and could not be trusted to keep the information secret.,John was a [proditor] and could not be trusted to keep the information secret.,3048,,,proditor
549,"If you talk about someone behind their back, you might be a [recreant].",recreant,"If you talk about someone behind their back, you might be a [recreant].","If you talk about someone behind their back, you might be a [proditor].",3049,,,proditor
1117,"Some people are secretive, but that doesn't mean they're all [recreants]. ",recreant,"Some people are secretive, but that doesn't mean they're all [recreants].","Some people are secretive, but that doesn't mean they're all [recreant].",550,,,recreant
1118,Carmen never walks alone at night because she is afraid of [recreants].,recreant,Carmen never walks alone at night because she is afraid of [recreants].,Carmen never walks alone at night because she is afraid of [proditors].,3052,,,proditors
573,"The neighbors complained about noise, no matter how [reticent] we were.",reticent,"The neighbors complained about noise, no matter how XXXXX we were.","The neighbors complained about noise, no matter how [conticent] we were.",2154,,,conticent
1119,"It was hard to get Jane to talk, because she was typically so [reticent].",reticent,"It was hard to get Jane to talk, because she was typically so [reticent].","It was hard to get Jane to talk, because was typically so [reticent].",575,,,reticent
574,"She asked him for an answer, but he kept [reticent] and refused to speak.",reticent,"She asked him for an answer, but he kept XXXXX and refused to speak.","She asked him for an answer, but he kept [conticent] and refused to speak.",2155,,,conticent
1120,"Tracy was very shy and was usually [reticent], rather than talkative.",reticent,"Tracy was very shy and was usually [reticent], rather than talkative.",,,,,
569,"The captive was worried and frightened, but he stayed [reticent].",reticent,"The captive was worried and frightened, but he stayed [reticent].",,,,,
572,We talked quietly when we realized that everyone else was [reticent]. ,reticent,We talked quietly when we realized that everyone else was [reticent].,,,,,
568,"Throughout the court case, the defendant was mostly [reticent]. ",reticent,"Throughout the court case, the defendant was mostly [reticent].",,,The guy was [conticent] throughout the court case.,3159,conticent
564,"Compared with other people in our group, Kim is more [reticent].",reticent,"Compared with other people in our group, Kim is more [reticent].",,,,,
359,"Becky polished the silver every day, so it would keep its [sheen]. ",sheen,"Becky polished the silver every day, so it would keep its [sheen].",,,,,
360,"After we removed the tarnish from the plate, it had a beautiful [sheen].",sheen,"After we removed the tarnish from the plate, it had a beautiful [sheen].",,,,,
1124,"Even through the dusty glass, we saw that the trophy had a bright [sheen].",sheen,"Even through the dusty glass, we saw that the trophy had a bright [sheen].",,,"Even though the dusty glass, we saw that the trophy had a bright [sheen].",358,sheen
351,"After the floor was redone, it had a pleasant [sheen].",sheen,"After the floor was redone, it had a pleasant [sheen].",,,,,
354,The hair stylist combed some product into my hair to give it some [sheen].,sheen,The hair stylist combed some product into my hair to give it some [sheen].,,,,,
350,The advertisement said that the lotion would give your face a nice [sheen].,sheen,The advertisement said that the lotion would give your face a nice [sheen].,,,The ad on TV said that the lotion would give your face a [fulgor].,2828,fulgor
349,I like jewelry that looks new and has a nice [sheen].,sheen,I like jewelry that looks new and has a nice [sheen].,,,,,
1125,We knew there was an oil spill from the [sheen] on the surface.,sheen,We knew there was an oil spill from the XXXXX on the surface.,,,,,
604,"Mandy didn't want to make a scene, so she [stifled] her feelings.",stifle,"Mandy didn't want to make a scene, so she [stifled] her feelings.",,,,,
601,"No one else was laughing, so the girl [stifled] her giggle.",stifle,"No one else was laughing, so the girl [stifled] her giggle.",,,The girl [burked] her giggle since no one else was laughing.,2129,burked
610,"Greg was embarrassed about his rumbling stomach, so he tried to [stifle] the sound. ",stifle,"Greg was embarrassed about his rumbling stomach, so he tried to XXXXX the sound.",,,,,
608,"John covered his mouth, but he couldn't [stifle] the powerful sneeze.",stifle,"John covered his mouth, but he couldn't XXXXX the powerful sneeze.","John covered his mouth, but he couldn't [burke] the powerful sneeze.",2131,,,burke
629,Nikki's mean jokes made Jill [surly] enough to hit her.,surly,Nikki's mean jokes made Jill XXXXX enough to hit her.,Nikki's mean jokes made Jill [iracund] enough to hit her.,2328,,,iracund
1129,Jim took a long time to paint the picture of the man that was [surly].,surly,Jim took a long time to paint the picture of the man that was [surly].,Jim took a long to paint the picture of the man that was [iracund].,3196,Jim took a long to paint the picture of the man that was [surly].,617,"iracund,surly"
615,After the game it was obvious that the boys were [surly].,surly,After the game it was obvious that the boys were [surly].,,,"After the game, it was obvious that the boys were [iracund].",3194,iracund
630,"He yelled a lot when he was [surly], causing friends to avoid him.",surly,"He yelled a lot when he was [surly], causing friends to avoid him.","He yelled a lot when he was [iracund], causing friends to avoid him.",2332,,,
620,Katie did not believe Phil was [surly] until he yelled at her.,surly,Katie did not believe Phil was XXXXX until he yelled at her.,Katie did not believe Phil was [iracund] until he yelled at her.,2330,,,iracund
622,You could tell by her behavior that she was [surly] this morning.,surly,You could tell by her behavior that she was XXXXX this morning.,You could tell by her behavior that she was [iracund] this morning.,2333,,,iracund
623,"When Todd left the house this morning, he didn't seem [surly]. ",surly,"When Todd left the house this morning, he didn't seem [surly].",,,,,
1060,He was sweaty and tired after [travailing] all day in the factory.,travail,He was sweaty and tired after [travailing] all day in the factory.,He was sweaty and tired after [swinking] all day in the factory.,2619,,,swinking
