ANONID,DEPT,HSGPA
3395,Psychology Department,3.9
3404,Psychology Department,4
3459,Psychology Department,NA
3470,Psychology Department,4
3472,Psychology Department,0
3523,Psychology Department,0
3570,Psychology Department,3.2
3584,Psychology Department,3.6
3605,Psychology Department,3.7
3653,Psychology Department,3.9
3656,Psychology Department,4
3659,Psychology Department,0
3681,Psychology Department,3.5
3694,Psychology Department,0
3701,Psychology Department,3.8
3806,Psychology Department,NA
3810,Psychology Department,3.7
3845,Psychology Department,4
3882,Psychology Department,3.8
3913,Psychology Department,4
3951,Psychology Department,3.5
4031,Psychology Department,3.9
4079,Psychology Department,3.5
4085,Psychology Department,3.7
4111,Psychology Department,3.6
4123,Psychology Department,3.9
4159,Psychology Department,3.9
4178,Psychology Department,0
4277,Psychology Department,3.5
4294,Psychology Department,3.4
4300,Psychology Department,0
4315,Psychology Department,3.6
4360,Psychology Department,3.6
4388,Psychology Department,4
4402,Psychology Department,4
4448,Psychology Department,3.7
4570,Psychology Department,NA
4572,Psychology Department,3.6
4581,Psychology Department,3.9
4608,Psychology Department,NA
4649,Psychology Department,3.9
4664,Psychology Department,3.3
4668,Psychology Department,3.7
4716,Psychology Department,4
4817,Psychology Department,3.9
4834,Psychology Department,3.9
4900,Psychology Department,0
4947,Psychology Department,3.2
4979,Psychology Department,3.3
4993,Psychology Department,3.8
5021,Psychology Department,4
5024,Psychology Department,3.6
5133,Psychology Department,3.7
5144,Psychology Department,0
5179,Psychology Department,NA
5229,Psychology Department,3.8
5346,Psychology Department,NA
5372,Psychology Department,3.6
5383,Psychology Department,3.9
5412,Psychology Department,3.4
5451,Psychology Department,0
5452,Psychology Department,3.8
5474,Psychology Department,3.4
5494,Psychology Department,3.1
5509,Psychology Department,4
5523,Psychology Department,3.8
5593,Psychology Department,3.4
5655,Psychology Department,3.9
5657,Psychology Department,3.9
5694,Psychology Department,0
5719,Psychology Department,3.9
5730,Psychology Department,3.7
5770,Psychology Department,3.9
5779,Psychology Department,3.5
5786,Psychology Department,3.8
5813,Psychology Department,0
5825,Psychology Department,0
5827,Psychology Department,3.83
5836,Psychology Department,0
5847,Psychology Department,3.9
NA,Psychology Department,3.8
5940,Psychology Department,0
5942,Psychology Department,0
5959,Psychology Department,3.9
5979,Psychology Department,4
6007,Psychology Department,3.3
6067,Psychology Department,3.9
6086,Psychology Department,3.6
6154,Psychology Department,3.8
6174,Psychology Department,4
6203,Psychology Department,4
6255,Psychology Department,3.7
6307,Psychology Department,3.7
6314,Psychology Department,3.5
6336,Psychology Department,NA
6360,Psychology Department,3.8
6368,Psychology Department,0
6379,Psychology Department,3.9
6389,Psychology Department,3.8
6390,Psychology Department,NA
6414,Psychology Department,3.8
6460,Psychology Department,3.6
6467,Psychology Department,3.6
6468,Psychology Department,3.5
6473,Psychology Department,0
" and the Arts""",Psychology Department,2.9
6506,Psychology Department,3.9
6515,Psychology Department,3.9
6659,Psychology Department,NA
6728,Psychology Department,4
6735,Psychology Department,3.7
6794,Psychology Department,4
6818,Psychology Department,4
6821,Psychology Department,3.9
6876,Psychology Department,NA
6877,Psychology Department,3.7
6889,Psychology Department,0
6970,Psychology Department,3.3
7002,Psychology Department,3.4
7055,Psychology Department,3.8
7087,Psychology Department,3.7
7114,Psychology Department,4
7147,Psychology Department,3.9
7152,Psychology Department,3.9
7156,Psychology Department,4
7230,Psychology Department,3.7
7254,Psychology Department,3.6
7256,Psychology Department,3.8
7266,Psychology Department,4
7273,Psychology Department,3.6
7327,Psychology Department,3.9
7330,Psychology Department,3.9
7342,Psychology Department,3.5
7395,Psychology Department,0
7405,Psychology Department,NA
7407,Psychology Department,3.9
7419,Psychology Department,0
7456,Psychology Department,2.7
7470,Psychology Department,NA
7475,Psychology Department,3.8
7519,Psychology Department,3.2
7541,Psychology Department,3.2
7553,Psychology Department,3.8
7555,Psychology Department,0
7565,Psychology Department,3.8
7578,Psychology Department,4
7589,Psychology Department,4
7607,Psychology Department,3.7
7611,Psychology Department,3.9
7643,Psychology Department,0
7673,Psychology Department,3.9
7681,Psychology Department,3.7
7682,Psychology Department,NA
7693,Psychology Department,0
7697,Psychology Department,0
7709,Psychology Department,4
7756,Psychology Department,0
7768,Psychology Department,3.8
7792,Psychology Department,3.8
7830,Psychology Department,0
7841,Psychology Department,3.6
7845,Psychology Department,3.7
7873,Psychology Department,3.7
7890,Psychology Department,3.5
7898,Psychology Department,3.9
7939,Psychology Department,NA
7942,Psychology Department,3.9
7944,Psychology Department,3.3
7951,Psychology Department,3.6
7986,Psychology Department,3.9
7988,Psychology Department,4
7995,Psychology Department,0
7999,Psychology Department,3.6
8052,Psychology Department,3.7
8059,Psychology Department,0
8063,Psychology Department,3.3
8065,Psychology Department,3.6
8081,Psychology Department,3.9
8112,Psychology Department,3.8
8129,Psychology Department,3
8134,Psychology Department,3.5
8170,Psychology Department,3.4
8178,Psychology Department,NA
8196,Psychology Department,3.8
8214,Psychology Department,NA
8232,Psychology Department,NA
8275,Psychology Department,0
8323,Psychology Department,3.8
8328,Psychology Department,4
8329,Psychology Department,3.3
8337,Psychology Department,4
8340,Psychology Department,3.3
8348,Psychology Department,3.8
8365,Psychology Department,3.3
8379,Psychology Department,3.8
8389,Psychology Department,0
8395,Psychology Department,3.9
8439,Psychology Department,2.3
8464,Psychology Department,3.7
8471,Psychology Department,NA
8491,Psychology Department,3.4
" and the Arts""",Psychology Department,3.8
8546,Psychology Department,3.6
8560,Psychology Department,3.8
8588,Psychology Department,3.8
8612,Psychology Department,3.7
8643,Psychology Department,2.4
8644,Psychology Department,3.3
8659,Psychology Department,NA
8660,Psychology Department,4
8692,Psychology Department,0
8713,Psychology Department,0
8725,Psychology Department,3.9
8741,Psychology Department,3.6
8746,Psychology Department,3.3
8801,Psychology Department,3.9
8811,Psychology Department,0
8831,Psychology Department,3.7
8879,Psychology Department,3.8
8901,Psychology Department,NA
8939,Psychology Department,3.7
8960,Psychology Department,3.6
8982,Psychology Department,3.66
9039,Psychology Department,0
9058,Psychology Department,3
9070,Psychology Department,0
9113,Psychology Department,4
9126,Psychology Department,0
9181,Psychology Department,3.1
9229,Psychology Department,NA
9263,Psychology Department,3.6
9327,Psychology Department,3.5
9360,Psychology Department,0
9382,Psychology Department,2.6
9383,Psychology Department,3
9398,Psychology Department,4
9441,Psychology Department,3.9
9447,Psychology Department,3.5
9450,Psychology Department,0
" and the Arts""",Psychology Department,3.9
9474,Psychology Department,3.9
9517,Psychology Department,3.9
9531,Psychology Department,4
9547,Psychology Department,3.8
9564,Psychology Department,3.9
9576,Psychology Department,3.8
9597,Psychology Department,3.6
9612,Psychology Department,3.7
9621,Psychology Department,NA
9707,Psychology Department,3.9
9719,Psychology Department,0
9758,Psychology Department,3.7
9759,Psychology Department,3.3
9761,Psychology Department,4
9773,Psychology Department,0
9774,Psychology Department,3.6
9787,Psychology Department,3.6
9795,Psychology Department,NA
9815,Psychology Department,NA
9832,Psychology Department,3.7
9885,Psychology Department,4
9893,Psychology Department,3
9894,Psychology Department,0
9903,Psychology Department,3.9
9915,Psychology Department,4
9937,Psychology Department,NA
9954,Psychology Department,NA
9960,Psychology Department,0
9963,Psychology Department,3.7
10011,Psychology Department,3.1
10034,Psychology Department,3.9
10053,Psychology Department,3.9
10125,Psychology Department,4
10144,Psychology Department,3.9
10147,Psychology Department,3.8
10203,Psychology Department,3.9
10221,Psychology Department,3.8
10287,Psychology Department,3.7
10352,Psychology Department,0
10356,Psychology Department,3.9
10374,Psychology Department,3.9
10377,Psychology Department,NA
10383,Psychology Department,3.8
10397,Psychology Department,4
10405,Psychology Department,0
10410,Psychology Department,4
10432,Psychology Department,3.9
10440,Psychology Department,3.5
10467,Psychology Department,0
10482,Psychology Department,4
10502,Psychology Department,3.5
10525,Psychology Department,3.9
10527,Psychology Department,4
10528,Psychology Department,3.9
10576,Psychology Department,3.9
10578,Psychology Department,NA
10600,Psychology Department,2.8
10605,Psychology Department,NA
10725,Psychology Department,3
10755,Psychology Department,4
10772,Psychology Department,3.7
10834,Psychology Department,3.8
10867,Psychology Department,4
10879,Psychology Department,2.9
10882,Psychology Department,3.2
10910,Psychology Department,0
10919,Psychology Department,3
10944,Psychology Department,NA
10946,Psychology Department,3.9
10960,Psychology Department,3.9
10970,Psychology Department,NA
10971,Psychology Department,0
11006,Psychology Department,3.6
11020,Psychology Department,3.6
11061,Psychology Department,3.7
11106,Psychology Department,4
11141,Psychology Department,NA
11236,Psychology Department,4
11287,Psychology Department,3.5
11321,Psychology Department,NA
11323,Psychology Department,4
11333,Psychology Department,NA
11348,Psychology Department,4
11363,Psychology Department,0
11379,Psychology Department,3.9
11387,Psychology Department,3.8
11442,Psychology Department,NA
11616,Psychology Department,2.9
11623,Psychology Department,4
11624,Psychology Department,3.9
11670,Psychology Department,4
11765,Psychology Department,NA
11768,Psychology Department,3.9
11778,Psychology Department,4
12024,Psychology Department,4
12040,Psychology Department,3.7
12050,Psychology Department,0
12052,Psychology Department,0
12054,Psychology Department,4
12093,Psychology Department,3.3
12110,Psychology Department,0
12222,Psychology Department,0
12258,Psychology Department,3.8
12263,Psychology Department,3.7
12283,Psychology Department,0
12300,Psychology Department,NA
12341,Psychology Department,2.4
12350,Psychology Department,0
12355,Psychology Department,3.5
12373,Psychology Department,4
12441,Psychology Department,3.2
12447,Psychology Department,4
12507,Psychology Department,3.9
12540,Psychology Department,3.6
12544,Psychology Department,3.9
12559,Psychology Department,3.7
12625,Psychology Department,3.8
12635,Psychology Department,4
12691,Psychology Department,3.7
12724,Psychology Department,3.6
12796,Psychology Department,4
12853,Psychology Department,3.7
12866,Psychology Department,3.6
12876,Psychology Department,3.9
12878,Psychology Department,NA
12887,Psychology Department,3.6
" and Developmental Biology""",Psychology Department,3.9
12997,Psychology Department,3.9
13013,Psychology Department,3.2
13035,Psychology Department,3.6
13036,Psychology Department,3.8
13106,Psychology Department,0
13126,Psychology Department,3
13139,Psychology Department,4
13173,Psychology Department,3.7
13185,Psychology Department,0
13233,Psychology Department,NA
13264,Psychology Department,3.73
13268,Psychology Department,3.8
13270,Psychology Department,3.6
13272,Psychology Department,3.4
13286,Psychology Department,3.9
13335,Psychology Department,3.1
13370,Psychology Department,3.6
13373,Psychology Department,3.8
13376,Psychology Department,3.7
13400,Psychology Department,2.8
13417,Psychology Department,4
13422,Psychology Department,3.3
13500,Psychology Department,3.8
13545,Psychology Department,2.9
13549,Psychology Department,3.6
13555,Psychology Department,3.8
13610,Psychology Department,3.7
13623,Psychology Department,2.9
13624,Psychology Department,3.8
13626,Psychology Department,2.3
13665,Psychology Department,4
13686,Psychology Department,4
13707,Psychology Department,3.3
13750,Psychology Department,3.7
13758,Psychology Department,4
13764,Psychology Department,3.9
13778,Psychology Department,3.8
13779,Psychology Department,3.1
13808,Psychology Department,3.8
13811,Psychology Department,3.6
13849,Psychology Department,3.94
13858,Psychology Department,3.7
13859,Psychology Department,3.8
13913,Psychology Department,3.8
13964,Psychology Department,3.7
13968,Psychology Department,3.8
13989,Psychology Department,NA
14020,Psychology Department,3.8
14029,Psychology Department,4
14035,Psychology Department,3.7
14039,Psychology Department,3.9
14051,Psychology Department,3.7
14055,Psychology Department,NA
14068,Psychology Department,3.7
14080,Psychology Department,3.9
14131,Psychology Department,4
14139,Psychology Department,4
14143,Psychology Department,NA
14165,Psychology Department,3.9
14200,Psychology Department,0
14232,Psychology Department,3.5
14264,Psychology Department,3.2
14302,Psychology Department,3.7
14309,Psychology Department,3.7
14350,Psychology Department,3.7
14361,Psychology Department,NA
14409,Psychology Department,3.8
" and the Arts""",Psychology Department,3.6
14447,Psychology Department,NA
14491,Psychology Department,NA
14504,Psychology Department,3.8
14528,Psychology Department,3.7
14535,Psychology Department,3.9
14538,Psychology Department,4
14546,Psychology Department,0
14549,Psychology Department,NA
14587,Psychology Department,0
14623,Psychology Department,3.8
14646,Psychology Department,4
14651,Psychology Department,3.7
14675,Psychology Department,3.8
14684,Psychology Department,3.9
14685,Psychology Department,3.5
14698,Psychology Department,3
14703,Psychology Department,3.9
14708,Psychology Department,3.6
14726,Psychology Department,4
14734,Psychology Department,3.9
14790,Psychology Department,3.8
14801,Psychology Department,NA
14882,Psychology Department,2.9
14891,Psychology Department,3.3
14892,Psychology Department,0
14954,Psychology Department,3.3
14957,Psychology Department,3.8
14968,Psychology Department,4
14991,Psychology Department,3.9
15016,Psychology Department,NA
15018,Psychology Department,3.9
15024,Psychology Department,0
15150,Psychology Department,3.7
15167,Psychology Department,0
15196,Psychology Department,3.8
15229,Psychology Department,3.6
15234,Psychology Department,4
15244,Psychology Department,4
15248,Psychology Department,3.6
15253,Psychology Department,4
15260,Psychology Department,NA
15306,Psychology Department,3.6
15312,Psychology Department,3.1
15314,Psychology Department,0
15432,Psychology Department,4
15462,Psychology Department,3.6
15466,Psychology Department,3.4
15483,Psychology Department,3.7
15499,Psychology Department,0
15515,Psychology Department,3.9
15541,Psychology Department,3.9
15542,Psychology Department,3.8
15543,Psychology Department,NA
15556,Psychology Department,3.9
15566,Psychology Department,NA
15581,Psychology Department,3.3
15593,Psychology Department,NA
NA,Psychology Department,0
15606,Psychology Department,3.9
15616,Psychology Department,3.6
15694,Psychology Department,3.42
15709,Psychology Department,3.7
15742,Psychology Department,3.4
15761,Psychology Department,3.9
15772,Psychology Department,3.5
15793,Psychology Department,NA
15804,Psychology Department,NA
15834,Psychology Department,4
15918,Psychology Department,NA
16013,Psychology Department,3.71
16015,Psychology Department,3.3
16023,Psychology Department,NA
16032,Psychology Department,3.3
16048,Psychology Department,NA
16083,Psychology Department,3.9
16089,Psychology Department,3.5
16093,Psychology Department,0
16110,Psychology Department,4
16125,Psychology Department,0
16143,Psychology Department,NA
16151,Psychology Department,3.9
16212,Psychology Department,3.6
16276,Psychology Department,3.8
16323,Psychology Department,3.6
16329,Psychology Department,3.7
16334,Psychology Department,3.6
16349,Psychology Department,3.9
16370,Psychology Department,3.3
16372,Psychology Department,NA
16477,Psychology Department,3.7
16487,Psychology Department,3.9
16491,Psychology Department,3.8
16500,Psychology Department,3.6
16501,Psychology Department,3.9
16503,Psychology Department,3.7
16581,Psychology Department,3.8
16589,Psychology Department,3.8
16620,Psychology Department,3.7
16642,Psychology Department,3.9
16646,Psychology Department,4
16657,Psychology Department,3.7
16661,Psychology Department,3.8
16680,Psychology Department,3.9
16685,Psychology Department,3.5
16696,Psychology Department,4
16739,Psychology Department,4
16778,Psychology Department,4
16933,Psychology Department,2.9
16939,Psychology Department,0
17026,Psychology Department,0
" and Developmental Biology""",Psychology Department,3.7
17059,Psychology Department,NA
17066,Psychology Department,0
17097,Psychology Department,0
17111,Psychology Department,3.3
17146,Psychology Department,3.3
17169,Psychology Department,3.6
17189,Psychology Department,3.6
17200,Psychology Department,3.8
17248,Psychology Department,3.49
17284,Psychology Department,3.8
17312,Psychology Department,4
17322,Psychology Department,3.9
17357,Psychology Department,4
17435,Psychology Department,NA
17471,Psychology Department,3.7
17483,Psychology Department,3.6
17543,Psychology Department,3.4
17556,Psychology Department,0
17583,Psychology Department,4
17588,Psychology Department,3.4
17600,Psychology Department,0
17603,Psychology Department,3.7
17611,Psychology Department,3.9
17674,Psychology Department,3.41
17679,Psychology Department,4
17688,Psychology Department,4
17710,Psychology Department,4
17781,Psychology Department,4
17782,Psychology Department,NA
17808,Psychology Department,3.7
17821,Psychology Department,3.9
17893,Psychology Department,3
17920,Psychology Department,3.8
17923,Psychology Department,NA
17963,Psychology Department,4
17990,Psychology Department,NA
18039,Psychology Department,3.8
18054,Psychology Department,4
18067,Psychology Department,3.8
18069,Psychology Department,3.2
18081,Psychology Department,4
18083,Psychology Department,3.9
18115,Psychology Department,3.7
" and the Arts""",Psychology Department,3.5
18137,Psychology Department,4
18152,Psychology Department,3.8
18198,Psychology Department,3.7
18223,Psychology Department,3.6
18286,Psychology Department,3.8
18294,Psychology Department,3.6
" and Developmental Biology""",Psychology Department,NA
18341,Psychology Department,0
18359,Psychology Department,3.5
18364,Psychology Department,4
18367,Psychology Department,3.9
18379,Psychology Department,3.5
18390,Psychology Department,3.4
18393,Psychology Department,3.4
18413,Psychology Department,NA
18429,Psychology Department,0
18496,Psychology Department,2.7
18568,Psychology Department,0
18612,Psychology Department,3.8
18692,Psychology Department,NA
18757,Psychology Department,3.8
18794,Psychology Department,3.7
18815,Psychology Department,3.5
18832,Psychology Department,3.9
18833,Psychology Department,3.89
18867,Psychology Department,3.6
18950,Psychology Department,0
18985,Psychology Department,NA
18990,Psychology Department,3.9
19015,Psychology Department,0
19022,Psychology Department,3.9
19078,Psychology Department,3.9
19098,Psychology Department,3.4
19146,Psychology Department,NA
19150,Psychology Department,2.7
19218,Psychology Department,3.9
19225,Psychology Department,3.9
19268,Psychology Department,3.5
19304,Psychology Department,0
19378,Psychology Department,2.9
19391,Psychology Department,4
19402,Psychology Department,0
19406,Psychology Department,0
19410,Psychology Department,NA
19447,Psychology Department,3.3
19459,Psychology Department,3.4
19494,Psychology Department,3.9
19497,Psychology Department,3.8
19525,Psychology Department,3.9
19535,Psychology Department,3.7
19536,Psychology Department,3.9
19605,Psychology Department,3.9
19637,Psychology Department,NA
19638,Psychology Department,4
19644,Psychology Department,3.9
19653,Psychology Department,3.3
19655,Psychology Department,4
19682,Psychology Department,4
19686,Psychology Department,4
19693,Psychology Department,3.4
19703,Psychology Department,0
19720,Psychology Department,3.7
19763,Psychology Department,3.6
19769,Psychology Department,0
" and Developmental Biology""",Psychology Department,4
NA,Psychology Department,3.7
19821,Psychology Department,3.4
19865,Psychology Department,3.8
19878,Psychology Department,2.5
19891,Psychology Department,3
19901,Psychology Department,0
20007,Psychology Department,3.3
20057,Psychology Department,0
20064,Psychology Department,0
20121,Psychology Department,3.8
20243,Psychology Department,3.9
20257,Psychology Department,4
20274,Psychology Department,3.8
20299,Psychology Department,0
20306,Psychology Department,0
20307,Psychology Department,3.8
20308,Psychology Department,3.9
20309,Psychology Department,3.9
20321,Psychology Department,3.3
20340,Psychology Department,3.5
20345,Psychology Department,3.9
20377,Psychology Department,3.3
20435,Psychology Department,3.7
20437,Psychology Department,3.6
20438,Psychology Department,3.5
20501,Psychology Department,3.9
20520,Psychology Department,3.1
20525,Psychology Department,3.9
20571,Psychology Department,3.9
20593,Psychology Department,3.7
20605,Psychology Department,0
20611,Psychology Department,3.5
20615,Psychology Department,3.8
20634,Psychology Department,3.7
20645,Psychology Department,3.9
20647,Psychology Department,3.6
20659,Psychology Department,3.7
20670,Psychology Department,4
20707,Psychology Department,4
20813,Psychology Department,4
20815,Psychology Department,3.3
20816,Psychology Department,3
20857,Psychology Department,3.9
20874,Psychology Department,3.9
20909,Psychology Department,3.2
20938,Psychology Department,NA
21019,Psychology Department,3.8
21035,Psychology Department,3.6
21042,Psychology Department,3.6
21049,Psychology Department,3.9
21138,Psychology Department,3
21193,Psychology Department,3.4
21206,Psychology Department,3.7
21212,Psychology Department,NA
21266,Psychology Department,3.8
21297,Psychology Department,3.8
21310,Psychology Department,4
21312,Psychology Department,0
21343,Psychology Department,3.7
21502,Psychology Department,3.4
21519,Psychology Department,3.9
21585,Psychology Department,4
21596,Psychology Department,3.8
21641,Psychology Department,3.9
21665,Psychology Department,3.6
21698,Psychology Department,3.9
21758,Psychology Department,3.3
21804,Psychology Department,NA
21828,Psychology Department,0
21844,Psychology Department,4
21858,Psychology Department,NA
21873,Psychology Department,3.9
21876,Psychology Department,2.5
21877,Psychology Department,4
21888,Psychology Department,0
21950,Psychology Department,4
21959,Psychology Department,NA
21965,Psychology Department,4
21989,Psychology Department,0
22006,Psychology Department,3
22079,Psychology Department,NA
22105,Psychology Department,3.8
22141,Psychology Department,NA
22177,Psychology Department,3.9
22192,Psychology Department,4
22199,Psychology Department,3.6
" and Developmental Biology""",Psychology Department,NA
22205,Psychology Department,4
22212,Psychology Department,0
22214,Psychology Department,3.7
22216,Psychology Department,3.2
22258,Psychology Department,0
22261,Psychology Department,4
22283,Psychology Department,3.5
22301,Psychology Department,3.8
22311,Psychology Department,2.4
22357,Psychology Department,4
22370,Psychology Department,3.8
NA,Psychology Department,3.7
22426,Psychology Department,2.9
22439,Psychology Department,3.9
22463,Psychology Department,3.9
22472,Psychology Department,3.6
22473,Psychology Department,3.9
22478,Psychology Department,3.6
22542,Psychology Department,3.4
22560,Psychology Department,3.8
22583,Psychology Department,3.9
22605,Psychology Department,3.8
22618,Psychology Department,0
22651,Psychology Department,3.2
22699,Psychology Department,3.5
22702,Psychology Department,4
22705,Psychology Department,3.4
22709,Psychology Department,3.1
22723,Psychology Department,3.3
22855,Psychology Department,3.8
22884,Psychology Department,3.6
22896,Psychology Department,4
22907,Psychology Department,3.8
22912,Psychology Department,0
22913,Psychology Department,4
22937,Psychology Department,4
22974,Psychology Department,3.9
22994,Psychology Department,3.5
23007,Psychology Department,3.9
23010,Psychology Department,3.5
23021,Psychology Department,3.8
23033,Psychology Department,3.7
23041,Psychology Department,NA
23047,Psychology Department,0
23064,Psychology Department,0
23065,Psychology Department,3.9
23066,Psychology Department,3.9
23084,Psychology Department,NA
23085,Psychology Department,2.8
23101,Psychology Department,0
23124,Psychology Department,NA
23129,Psychology Department,4
23133,Psychology Department,3.8
23144,Psychology Department,0
23202,Psychology Department,3.8
23266,Psychology Department,3.2
23271,Psychology Department,4
23297,Psychology Department,3.8
23298,Psychology Department,3.8
23316,Psychology Department,0
23323,Psychology Department,3.9
23362,Psychology Department,4
23400,Psychology Department,4
23403,Psychology Department,0
23486,Psychology Department,0
23516,Psychology Department,0
23519,Psychology Department,2.6
23564,Psychology Department,0
23571,Psychology Department,2.8
23573,Psychology Department,0
23588,Psychology Department,3
23592,Psychology Department,3.6
23629,Psychology Department,3.8
23669,Psychology Department,4
23718,Psychology Department,4
23753,Psychology Department,3.8
23765,Psychology Department,3.7
23835,Psychology Department,3.9
23840,Psychology Department,3.6
23850,Psychology Department,3.7
23867,Psychology Department,3.9
23903,Psychology Department,4
23912,Psychology Department,3.5
23936,Psychology Department,3.9
23944,Psychology Department,3.1
24017,Psychology Department,NA
24040,Psychology Department,3.6
24070,Psychology Department,3.2
24072,Psychology Department,3.9
24101,Psychology Department,3.9
24159,Psychology Department,3.6
24171,Psychology Department,3.5
24189,Psychology Department,3
24192,Psychology Department,3.4
24196,Psychology Department,4
24209,Psychology Department,0
24230,Psychology Department,NA
24244,Psychology Department,3.9
24286,Psychology Department,4
24298,Psychology Department,3.6
24313,Psychology Department,0
24316,Psychology Department,3.6
24337,Psychology Department,3.3
24339,Psychology Department,3.8
24387,Psychology Department,NA
24421,Psychology Department,3.6
24437,Psychology Department,4
24446,Psychology Department,3.9
24448,Psychology Department,3.9
24461,Psychology Department,3.3
24469,Psychology Department,3.7
24478,Psychology Department,0
24483,Psychology Department,3.9
24484,Psychology Department,4
24489,Psychology Department,3.2
24514,Psychology Department,3.4
24641,Psychology Department,NA
24657,Psychology Department,3.7
24670,Psychology Department,0
24679,Psychology Department,4
24695,Psychology Department,2.8
24750,Psychology Department,3.6
24760,Psychology Department,0
24766,Psychology Department,3.4
24771,Psychology Department,0
24791,Psychology Department,4
24798,Psychology Department,3.9
24854,Psychology Department,3.8
24901,Psychology Department,3.7
24966,Psychology Department,3.5
24978,Psychology Department,4
25000,Psychology Department,3.9
25006,Psychology Department,3.8
25052,Psychology Department,4
25093,Psychology Department,NA
25152,Psychology Department,3.9
25161,Psychology Department,3.6
25212,Psychology Department,3.9
25228,Psychology Department,3.6
25233,Psychology Department,3.2
25238,Psychology Department,3
25262,Psychology Department,3.4
25271,Psychology Department,3.9
25272,Psychology Department,3.3
25273,Psychology Department,3.8
25387,Psychology Department,0
25398,Psychology Department,3.9
25407,Psychology Department,3.3
25412,Psychology Department,2.4
25428,Psychology Department,3.6
25429,Psychology Department,3.5
25459,Psychology Department,0
25481,Psychology Department,0
25503,Psychology Department,4
25521,Psychology Department,3.8
25535,Psychology Department,3.3
25542,Psychology Department,3.2
25559,Psychology Department,3.1
25600,Psychology Department,3.9
25734,Psychology Department,0
25742,Psychology Department,3.5
25747,Psychology Department,3.6
25765,Psychology Department,3.6
25769,Psychology Department,3.7
25791,Psychology Department,3.7
25800,Psychology Department,4
25812,Psychology Department,3.8
25838,Psychology Department,3.6
25840,Psychology Department,3.2
25868,Psychology Department,3.7
25884,Psychology Department,4
25903,Psychology Department,3.8
